Year,Award,Nominees,Ethnicity,Movie
1928,Actor in a Leading Role,Emil Jannings,German,The Last Command The Way of All Flesh
1928,Actor in a Leading Role,Richard Barthelmess,Caucasian American,"The Noose
The Patent Leather Kid"
1929,Actor in a Leading Role,Warner Baxter,Caucasian American,In Old Arizona
1929,Actor in a Leading Role,George Bancroft,Caucasian American,Thunderbolt
1929,Actor in a Leading Role,Chester Morris,Caucasian American,Alibi
1929,Actor in a Leading Role,Paul Muni,Caucasian American,The Valiant
1929,Actor in a Leading Role,Lewis Stone,Caucasian American,The Patriot
1930,Actor in a Leading Role,George Arliss,English,Disraeli
1930,Actor in a Leading Role,George Arliss,English,The Green Goddess
1930,Actor in a Leading Role,Wallace Beery,Caucasian American,The Big House
1930,Actor in a Leading Role,Maurice Chevalier,French,"The Big Pond 
The Love Parade"
1930,Actor in a Leading Role,Ronald Colman,English,"Bulldog Drummond 
Condemned"
1930,Actor in a Leading Role,Lawrence Tibbett,Caucasian American,The Rogue Song
1931,Actor in a Leading Role,Lionel Barrymore,Caucasian American,A Free Soul
1931,Actor in a Leading Role,Jackie Cooper,Caucasian American,Skippy
1931,Actor in a Leading Role,Richard Dix,Caucasian American,Cimarron
1931,Actor in a Leading Role,Fredric March,Caucasian American,The Royal Family of Broadway
1931,Actor in a Leading Role,Adolphe Menjou,Caucasian American,The Front Page
1932,Actor in a Leading Role,Wallace Beery,Caucasian American,The Champ
1932,Actor in a Leading Role,Fredric March,Caucasian American,Dr. Jekyll and Mr. Hyde
1932,Actor in a Leading Role,Alfred Lunt,Caucasian American,The Guardsman
1933,Actor in a Leading Role,Charles Laughton,Caucasian American,The Private Life of Henry VIII
1933,Actor in a Leading Role,Leslie Howard,English-American,Berkeley Square
1933,Actor in a Leading Role,Paul Muni,Caucasian American,I Am a Fugitive from a Chain Gang
1934,Actor in a Leading Role,Clark Gable,Caucasian American,It Happened One Night
1934,Actor in a Leading Role,Frank Morgan,Caucasian American,The Affairs of Cellini
1934,Actor in a Leading Role,William Powell,Caucasian American,The Thin Man
1935,Actor in a Leading Role,Victor McLaglen,English-American,The Informer
1935,Actor in a Leading Role,Clark Gable,Caucasian American,Mutiny on the Bounty
1935,Actor in a Leading Role,Charles Laughton,English-American,
1935,Actor in a Leading Role,Paul Muni,Caucasian American,Black Fury
1935,Actor in a Leading Role,Franchot Tone,Caucasian American,Mutiny on the Bounty
1936,Actor in a Leading Role,Paul Muni,Caucasian American,The Story of Louis Pasteur
1936,Actor in a Leading Role,Gary Cooper,Caucasian American,Mr. Deeds Goes to Town
1936,Actor in a Leading Role,Walter Huston,Canadian,Dodsworth
1936,Actor in a Leading Role,William Powell,Caucasian American,My Man Godfrey
1936,Actor in a Leading Role,Spencer Tracy,Caucasian American,San Francisco
1937,Actor in a Leading Role,Spencer Tracy,Caucasian American,Captains Courageous
1937,Actor in a Leading Role,Charles Boyer,French,Conquest
1937,Actor in a Leading Role,Fredric March,Caucasian American,A Star Is Born
1937,Actor in a Leading Role,Robert Montgomery,Caucasian American,Night Must Fall
1937,Actor in a Leading Role,Paul Muni,Caucasian American,The Life of Emile Zola
1938,Actor in a Leading Role,Spencer Tracy,Caucasian American,Boys Town
1938,Actor in a Leading Role,Charles Boyer,French,Algiers
1938,Actor in a Leading Role,James Cagney,Caucasian American,Angels with Dirty Faces
1938,Actor in a Leading Role,Robert Donat,English,The Citadel
1938,Actor in a Leading Role,Leslie Howard,English,Pygmalion
1939,Actor in a Leading Role,Robert Donat,English,"Goodbye, Mr. Chips"
1939,Actor in a Leading Role,Clark Gable,Caucasian American,Gone with the Wind
1939,Actor in a Leading Role,Laurence Olivier,English,Wuthering Heights
1939,Actor in a Leading Role,Mickey Rooney,Caucasian American,Babes in Arms
