year,award,nominee,ethnicity,movie,imgurl
1928,Actor in a Leading Role,Richard Barthelmess,caucasianAmerican,The Noose and The Patent Leather Kid,"<iframe src=""https://giphy.com/embed/8QYf6Bjdc1GBa"" width=""480"" height=""360"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/world-wonder-nancy-reagan-8QYf6Bjdc1GBa"">via GIPHY</a></p>"
1929,Actor in a Leading Role,Warner Baxter,caucasianAmerican,In Old Arizona,
1929,Actor in a Leading Role,George Bancroft,caucasianAmerican,Thunderbolt,
1929,Actor in a Leading Role,Chester Morris,caucasianAmerican,Alibi,
1929,Actor in a Leading Role,Paul Muni,caucasianAmerican,The Valiant,
1929,Actor in a Leading Role,Lewis Stone,caucasianAmerican,The Patriot,
1930,Actor in a Leading Role,Wallace Beery,caucasianAmerican,The Big House,
1930,Actor in a Leading Role,Lawrence Tibbett,caucasianAmerican,The Rogue Song,
1931,Actor in a Leading Role,Lionel Barrymore,caucasianAmerican,A Free Soul,
1931,Actor in a Leading Role,Jackie Cooper,caucasianAmerican,Skippy,
1931,Actor in a Leading Role,Richard Dix,caucasianAmerican,Cimarron,
1931,Actor in a Leading Role,Fredric March,caucasianAmerican,The Royal Family of Broadway,
1931,Actor in a Leading Role,Adolphe Menjou,caucasianAmerican,The Front Page,
1932,Actor in a Leading Role,Wallace Beery,caucasianAmerican,The Champ,
1932,Actor in a Leading Role,Fredric March,caucasianAmerican,Dr. Jekyll and Mr. Hyde,
1932,Actor in a Leading Role,Alfred Lunt,caucasianAmerican,The Guardsman,
1933,Actor in a Leading Role,Charles Laughton,caucasianAmerican,The Private Life of Henry VIII,
1933,Actor in a Leading Role,Paul Muni,caucasianAmerican,I Am a Fugitive from a Chain Gang,
1934,Actor in a Leading Role,Clark Gable,caucasianAmerican,It Happened One Night,
1934,Actor in a Leading Role,Frank Morgan,caucasianAmerican,The Affairs of Cellini,
1934,Actor in a Leading Role,William Powell,caucasianAmerican,The Thin Man,
1935,Actor in a Leading Role,Clark Gable,caucasianAmerican,Mutiny on the Bounty,
